Song Title,Artist
After the Love Has Gone,"Earth, Wind & Fire"
Fantasy,"Earth, Wind & Fire"
September,"Earth, Wind & Fire"
Shining Star,"Earth, Wind & Fire"
Baby Hold On (2022 Remaster),Eddie Money
Take Me Home Tonight,Eddie Money
Two Tickets to Paradise (2022 Remaster),Eddie Money
War,Edwin Starr
Mr. Blue Sky,Electric Light Orchestra
Bennie and the Jets,Elton John
Fooled Around and Fell in Love,Elvin Bishop
Spill the Wine,Eric Burdon & War
Falling For a Funny One (Album Version),Eye to Eye
Just Remember I Love You,Firefall
You Are the Woman,Firefall
Signs,Five Man Electrical Band
Go Your Own Way,Fleetwood Mac
Landslide (Remastered),Fleetwood Mac
Rhiannon (Remastered),Fleetwood Mac
You Make Loving Fun,Fleetwood Mac
Slow Ride (Single Version),Foghat
Waiting for a Girl Like You,Foreigner
Before I Let Go,Frankie Beverly & Maze
All Right Now ,Free
Dream Weaver,Gary Wright
Love Is Alive,Gary Wright
Breezin',George Benson
Give Me the Night,George Benson
Lady Love Me (One More Time),George Benson
Turn Your Love Around,George Benson
Got My Mind Set on You (2004 Remaster),George Harrison
My Sweet Lord (2014 Remaster),George Harrison
Careless Whisper,George Michael
Get It Right Next Time,Gerry Rafferty
Right Down the Line,Gerry Rafferty
I Just Wanna Stop,Gino Vannelli
Rhinestone Cowboy,Glen Campbell
Southern Nights,Glen Campbell
"The Heat Is On (From ""Beverly Hills Cop"" Soundtrack)",Glenn Frey
The One You Love,Glenn Frey
You Belong To The City,Glenn Frey
If You Could Read My Mind,Gordon Lightfoot
Me and Bobby McGee,Gordon Lightfoot
Sundown,Gordon Lightfoot
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot
Closer to Home (I'm Your Captain),Grand Funk Railroad
Some Kind of Wonderful,Grand Funk Railroad
We're An American Band (Remastered 2002),Grand Funk Railroad
Casey Jones,Grateful Dead
Touch of Grey,Grateful Dead
Truckin',Grateful Dead
Mister Magic,"Grover Washington, Jr."
If You Don't Know Me by Now (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes
Coconut,Harry Nilsson
Always and Forever,Heatwave
Rise,Herb Alpert
Route 101,Herb Alpert
Ladyfingers,Herb Alpert & The Tijuana Brass
Paradise,Herbie Hancock
Romance,Hiroshi Suzuki
The Power of Love,Huey Lewis & The News
Crazy Mama,J.J. Cale
Doctor My Eyes,Jackson Browne
Running On Empty,Jackson Browne
Somebody's Baby,Jackson Browne
Funk #49,James Gang
Yah Mo B There,James Ingram
Carolina In My Mind (1976 Version),James Taylor
Don't Let Me Be Lonely Tonight,James Taylor
Fire and Rain,James Taylor
Handy Man,James Taylor
Her Town Too,James Taylor
How Sweet It Is (To Be Loved By You),James Taylor
Shower the People,James Taylor
Your Smiling Face,James Taylor
Come A Little Bit Closer,Jay & The Americans
Thunder Island,Jay Ferguson
White Rabbit,Jefferson Airplane
Right Time of the Night,Jennifer Warnes
"Bad, Bad Leroy Brown",Jim Croce
Hey Joe,Jimmi Hendrix
Cheeseburger in Paradise,Jimmy Buffett
Fins,Jimmy Buffett
Margaritaville,Jimmy Buffett
Feelin' Alright,Joe Cocker
With a Little Help from My Friends,Joe Cocker
Life's Been Good,Joe Walsh
Ring of Fire,Johnny Cash
I Can See Clearly Now,Johnny Nash
I'll Be Alright Without You,Journey
Separate Ways (Worlds Apart),Journey
Who's Crying Now,Journey
Carry On Wayward Son,Kansas
Heart to Heart,Kenny Loggins
I Believe In Love,Kenny Loggins
I Gotta Try,Kenny Loggins
"I'm Alright (Theme from ""Caddyshack"")",Kenny Loggins
Meet Me Half Way ,Kenny Loggins
This Is It,Kenny Loggins
"Who's Right, Who's Wrong",Kenny Loggins
The Gambler,Kenny Rogers
Dancing In the Moonlight,King Harvest
Too Hot (Single Version),Kool & The Gang
Phantom of the Footlights,Larsen-Feiten Band
Who'll Be the Fool Tonight,Larsen-Feiten Band
Kashmir,Led Zeppelin
Do You Know What I Mean,Lee Michaels
If I'm Dreamin' (Don't Wake Me),Lee Ritenour
When I Need You (Remastered),Leo Sayer
You Make Me Feel Like Dancing (Remastered),Leo Sayer
I Want'a Do Something Freaky To You,Leon Haywood
Rockin' You Eternally,Leon Ware
Love Games,Level 42
Something About You,Level 42
When Will I Be Loved,Linda Ronstadt
You're No Good,Linda Ronstadt
All Night Long (All Night),Lionel Richie
Cool Change,Little River Band
Lonesome Loser,Little River Band
Reminiscing ,Little River Band
Danny's Song,Loggins & Messina
Vahevala,Loggins & Messina
Your Mama Don't Dance,Loggins & Messina
Summer Nights,Lonnie Liston Smith & The Cosmic Echoes
Brandy (You're A Fine Girl),Looking Glass
You'll Never Find Another Love Like Mine,Lou Rawls
Here and Now,Luther Vandross
Never Too Much,Luther Vandross
Stop to Love,Luther Vandross
Sweet Home Alabama,Lynyrd Skynyrd
Suavecito,Malo
Hearts,Marty Balin
Break My Stride,Matthew Wilder
Don't Try to Stop Me Now,Maxus
Keep a Light On,Maxus
Nobody's Business,Maxus
The Higher You Rise,Maxus
Your Imagination,Maxus
Baby Be Mine,Michael Jackson
Human Nature,Michael Jackson
I Can't Help It,Michael Jackson
Off the Wall,Michael Jackson
Rock With You,Michael Jackson
Wildfire,Michael Martin Murphey
I Gotta Try,Michael McDonald
Sweet Freedom,Michael McDonald
Mississippi Queen,Mountain
Broken Wings,Mr. Mister
Hunters of the Night,Mr. Mister
Kyrie,Mr. Mister
In the Summertime,Mungo Jerry
Lotta Love,Nicolette Larson
Spirit In the Sky,Norman Greenbaum
Magic,Olivia Newton-John
Still the One,Orleans
You're Out to Lose,Pablo Cruise
Remind Me (Remastered),Patrice Rushen
Cool Night,Paul Davis
I Go Crazy (Single Version),Paul Davis
Sweet Life,Paul Davis
Band On the Run,Paul McCartney & Wings
You Can Call Me Al,Paul Simon
Let My Love Open the Door,Pete Townshend
Next Time I Fall (With Amy Grant),Peter Cetera & Amy Grant
Another Day in Paradise (2016 Remastered),Phil Collins
Sussudio (2016 Remastered),Phil Collins
Easy Lover,Philip Bailey & Phil Collins
Magic,Pilot
Comfortably Numb,Pink Floyd
Baby Come Back,Player
Call It Love,Poco
Crazy Love,Poco
Heart of the Night,Poco
I Wanna Be Your Lover,Prince
The Most Beautiful Girl in the World,Prince
Amie,Pure Prairie League
Something Special,Quincy Jones
Roll With the Changes,REO Speedwagon
Juke Box Fury,Rickie Lee Jones
Lonely Runner (Remastered),Robbie Dupree
Steal Away,Robbie Dupree
Every Kinda People,Robert Palmer
Maggie May,Rod Stewart
Everybody Loves the Sunshine,Roy Ayers Ubiquity
Answering Machine,Rupert Holmes
Escape (The Pina Colada Song),Rupert Holmes
Him,Rupert Holmes
No Ordinary Love,Sade
Smooth Operator,Sade
Sweetest Taboo,Sade
Smoke from a Distant Fire,Sanford Townsend Band
Diamond Girl,Seals & Crofts
Get Closer,Seals & Crofts
Summer Breeze,Seals & Crofts
Holding Back the Years,Simply Red
Everyday People,Sly & The Family Stone
Sweet City Woman,Stampeders
Moonlight Feels Right,Starbuck
Afternoon Delight,Starland Vocal Band
Stuck In the Middle With You,Stealers Wheel
Black Cow,Steely Dan
Deacon Blues,Steely Dan
FM,Steely Dan
Hey Nineteen,Steely Dan
Kid Charlemagne,Steely Dan
Reelin' In The Years,Steely Dan
Rikki Don't Lose That Number,Steely Dan
Peg,Steely Dan & Tom Scott
Magic Carpet Ride,Steppenwolf
Fly Like an Eagle,Steve Miller Band
Jet Airliner,Steve Miller Band
Rock'n Me,Steve Miller Band
Foolish Heart,Steve Perry
Bella Donna,Stevie Nicks
Edge of Seventeen,Stevie Nicks
Leather and Lace,Stevie Nicks & Don Henley
As,Stevie Wonder
For Once in My Life,Stevie Wonder
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder
Superstition,Stevie Wonder
That Girl,Stevie Wonder
Just Can't Win 'Em All,Stevie Woods
Steal the Night,Stevie Woods
Green-Eyed Lady,Sugarloaf
Give a Little Bit,Supertramp
Take The Long Way Home,Supertramp
The Logical Song,Supertramp
Jessica,The Allman Brothers Band
Midnight Rider,The Allman Brothers Band
"One Way Out (Live at the Fillmore East, 1971)",The Allman Brothers Band
Ramblin' Man,The Allman Brothers Band
The Weight (Remixed 2018),The Band
Good Vibrations,The Beach Boys
Let Your Love Flow,The Bellamy Brothers
The Letter,The Box Tops
Q,The Brothers Johnson
Strawberry Letter 23,The Brothers Johnson
Easy,The Commodores
Nightshift,The Commodores
Sail On,The Commodores
Two Occasions,The Deele
Black Water,The Doobie Brothers
Jesus Is Just Alright,The Doobie Brothers
Long Train Runnin' (2016 Remastered),The Doobie Brothers
Nothin' But a Heartache (2016 Remastered),The Doobie Brothers
Real Love (2016 Remastered),The Doobie Brothers
You're Made That Way (2016 Remastered),The Doobie Brothers
Break On Through (To the Other Side),The Doors
Riders On the Storm,The Doors
Whatcha See Is Whatcha Get,The Dramatics
Free Ride,The Edgar Winter Group
Float On (Single Version),The Floaters
Outstanding,The Gap Band
No Time,The Guess Who
These Eyes,The Guess Who
Be Thankful for What You Got,The Intruders
Between the Sheets,The Isley Brothers
Purple Haze,The Jimi Hendrix Experience
Voodoo Child ,The Jimi Hendrix Experience
Nights Over Egypt,The Jones Girls
Summer In the City,The Lovin' Spoonful
Shining Star,The Manhattans
Can't You See,The Marshall Tucker Band
Hang On Sloopy,The McCoys
Back Stabbers,The O'Jays
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays
For the Love of Money,The O'Jays
Jackie Blue,The Ozark Mountain Daredevils
Could It Be I'm Falling In Love,The Spinners
Games People Play,The Spinners
I'll Be Around,The Spinners
It's A Shame,The Spinners
People Make the World Go Round (Lp Version),The Stylistics
Papa Was a Rollin' Stone (Single Version),The Temptations
End of the Line (Remastered 2016),The Traveling Wilburys
If There's a Way,The Waters
Good Lovin',The Young Rascals
Time of the Season (Mono Version),The Zombies
An Old Fashioned Love Song,Three Dog Night
Mama Told Me (Not to Come),Three Dog Night
Shambala,Three Dog Night
What's Love Got to Do with It,Tina Turner
I Saw the Light,Todd Rundgren
Sure Enough,Tom Scott
Draggin' the Line (Single Version),Tommy James
Crystal Blue Persuasion,Tommy James & The Shondells
Africa,Toto
Georgy Porgy,Toto
Hold the Line,Toto
I Won't Hold You Back,Toto
I'll Be Over You,Toto
Rosanna,Toto
Empty Pages (Remastered),Traffic
Feelin' Alright?,Traffic
Love Is the Answer,Utopia
Into the Mystic,Van Morrison
Wild Night,Van Morrison
The Night the Lights Went Out In Georgia,Vicki Lawrence
Training Montage,Vince DiCola
War,Vince DiCola
Magnet and Steel,Walter Egan
Low Rider,War
Werewolves of London,Warren Zevon
Arrow Through Me,Wings
Silly Love Songs,Wings
La Grange,ZZ Top & John Lee Hooker
